subject,predicate,object
约翰芬雷华能设计工程有限公司,包含设计,设计
煤炭工业济南设计研究院有限公司,包含设计,设计
杭州市城建设计研究院有限公司,包含设计,设计
武汉市政工程设计研究院,包含设计,设计
江苏省第一工业设计院有限责任公司,包含设计,设计
中煤邯郸设计院有限公司,包含设计,设计
中煤天津（邯郸）设计院有限公司,包含设计,设计
华东勘测设计研究院有限公司,包含设计,设计
通用技术集团工程设计有限公司,包含设计,设计
唐山开滦集团设计院,包含设计,设计
唐山开滦建设（集团）有限责任公司,简称是,开滦建设集团
开滦建设集团,属于,冻结法施工单位
中煤第五建设有限公司上海分公司,简称,中煤五建上海分公司
中煤第五建设有限公司上海分公司,属于,冻结法施工单位
中煤第五建设有限公司上海分公司,记录条目,第35条
中煤邯郸设计公司,使用时间,2019年11月30日前
中国建筑股份有限公司,简称是,中国建筑股份公司
中国水利水电第十一工程局有限公司轨道交通分局盾构工程处,简称,中国水电十一局轨道分局
中国水利水电第七工程局有限公司,简称,中国水电七局
中铁建大桥工程局集团第二工程有限公司,简称,中铁大桥局二公司
中国铁建大桥工程局集团有限公司,简称,中铁大桥局
中交珠海城际轨道交通投资建设有限公司,简称,中交珠海城轨投资公司
中交第三公路工程局有限公司,简称,中交三公局
中交二公局第一工程有限公司,简称,中交二公局一公司
中交第二航务工程局有限公司,简称,中交二航局
中交隧道工程局有限公司,简称,中交隧道工程局
中国交通建设股份有限公司,简称,中交建股份公司
中国交通建设集团有限公司,简称,中交建设集团
中铁上海工程局有限公司城市轨道交通工程分公司,简称,中铁上海局城轨分公司
中铁上海工程局工程有限公司,简称,中铁上海工程局
中铁隧道局杭州公司,简称,中铁隧道局
中铁四局集团有限公司城市轨道交通工程分公司,简称,中铁四局城轨分公司
北京城建设计发展集团股份有限公司,包含股份,股份
中铁二局股份有限公司城通公司,包含股份,股份
中铁十五局有限公司,简称,中铁十五局
北京城建设计集团,简称包含,设计
中铁隧道集团有限公司,简称,中铁隧道集团
北京市政建设集团有限责任公司,包含建设,建设
北京市市政四建设工程有限责任公司,包含建设,建设
中铁十六局集团北京轨道交通工程建设有限公司,包含建设,建设
中铁十七局集团上海轨道交通工程有限公司,简称,中铁十七局上海城轨公司
上海隧道股份有限公司,包含隧道,隧道
上海隧道工程股份有限公司盾构分公司,包含隧道,隧道
中铁十四局集团隧道工程有限公司,包含隧道,隧道
中铁隧道集团有限公司,包含隧道,隧道
中铁隧道集团二处有限公司,包含隧道,隧道
中铁隧道集团三处有限公司,包含隧道,隧道
上海城投(集团)有限公司,简称,上海城投集团
中铁一局集团有限公司,简称,中铁一局
中铁一局集团城市轨道交通工程有限公司,简称,中铁一局城轨公司
中铁一局集团第二工程有限公司,简称,中铁一局二公司
中铁二局集团有限公司,简称,中铁二局
中铁二局股份有限公司城通公司,简称,中铁二局城通公司
中铁三局集团有限公司桥隧工程分公司,简称,中铁三局桥隧分公司
中铁三局集团第二工程有限公司,简称,中铁三局二公司
中铁三局集团天津建设工程有限公司,简称,中铁三局天津建设公司
中铁四局集团第二工程有限公司,简称,中铁四局二公司
中铁四局集团第五工程有限公司,简称,中铁四局五公司
中铁四局第六工程有限公司,简称,中铁四局六公司
中铁五局(集团)有限公司,简称,中铁五局
中铁五局(集团)有限公司城市轨道交通工程分公司,简称,中铁五局城轨分公司
中铁七局集团第三工程有限公司,简称,中铁七局三公司
中铁七局集团第五工程局,简称,中铁七局五局
中铁十局集团第一工程有限公司,简称,中铁十局一公司
中铁十一局集团有限公司,简称,中铁十一局
中铁十一局集团城市轨道工程有限公司,简称,中铁十一局城轨公司
中铁十四局集团有限公司,简称,中铁十四局
中铁十四局集团隧道工程有限公司,简称,中铁十四局隧道公司
中铁十六局集团有限公司,简称,中铁十六局
中铁十六局集团北京轨道交通工程建设有限公司,简称,中铁十六局北京城轨公司
中铁十七局集团有限公司,简称,中铁十七局
中铁十八局集团有限公司,简称,中铁十八局
中铁十八局集团第一工程有限公司,简称,中铁十八局一公司
中铁十八局集团第五工程有限公司,简称,中铁十八局五公司
中铁十九局集团有限公司,简称,中铁十九局
中铁十九局集团轨道交通工程有限公司,简称,中铁十九局城轨公司
中铁隧道集团二处有限公司,简称,中铁隧道二公司
中铁隧道集团三处有限公司,简称,中铁隧道三公司
北京市地铁运营有限公司,所属城市,北京
北京市地铁集团有限责任公司,所属城市,北京
北京市政建设集团有限责任公司,所属城市,北京
北京市政四建设工程有限责任公司,所属城市,北京
北京建工集团有限责任公司,所属城市,北京
北京城建设计发展集团股份有限公司,所属城市,北京
北京城建中南盾构工程有限公司,所属城市,北京
上海申通地铁集团有限公司,所属城市,上海
上海地铁运营有限公司,所属城市,上海
上海市机械施工集团有限公司,所属城市,上海
上海隧道股份有限公司,所属城市,上海
上海隧道工程股份有限公司盾构分公司,所属城市,上海
上海市基础工程集团有限公司,所属城市,上海
上海城建市政工程(集团)有限公司,所属城市,上海
广州市地铁集团有限责任公司,所属城市,广州
深圳市地铁有限公司,所属城市,深圳
天津轨道交通集团公司,所属城市,天津
天津市地下铁道集团有限公司,所属城市,天津
天津城建集团有限公司,所属城市,天津
天津第一市政公路工程有限公司,所属城市,天津
南京地下铁道有限责任公司,所属城市,南京
杭州地铁集团有限责任公司,所属城市,杭州
郑州市轨道交通有限公司,所属城市,郑州
武汉地铁集团有限公司,所属城市,武汉
济南轨道交通集团有限公司,所属城市,济南
上海地铁运营有限公司,简称,上海地铁公司
北京城建设计集团,简称含,城轨
北京城建中南盾构公司,简称含,城轨
上海申通地铁集团,简称含,城轨
上海地铁公司,简称含,城轨
上海城建市政集团,简称含,城轨
上海市政一公司,简称含,城轨
上海市政二公司轨道分公司,简称含,城轨
上海黄浦江越江投资公司,简称含,城轨
上海城投集团,简称含,城轨
上海建工集团,简称含,城轨
郑州城轨公司,简称含,城轨
中铁一局城轨公司,简称含,城轨
中铁四局城轨分公司,简称含,城轨
中铁五局城轨分公司,简称含,城轨
中铁十一局城轨公司,简称含,城轨
中铁十六局北京城轨公司,简称含,城轨
中铁十七局上海城轨公司,简称含,城轨
中铁十九局城轨公司,简称含,城轨
北京市政建设集团有限责任公司,简称,北京市政建设集团
宁波镇海石塘下输油管廊迁改工程,冻结时间,2019年7月-2019年11月
兰州城市轨道交通1号线一期工程土建Ⅱ标段冻结工程,解决技术,地连墙接茬封水
兰州城市轨道交通1号线一期工程土建Ⅱ标段冻结工程,加固对象,省政府站地面段与商务区交接位土体
兰州城市轨道交通1号线一期工程土建Ⅱ标段冻结工程,保障性能,防水性能
兰州城市轨道交通1号线一期工程土建Ⅱ标段冻结工程,防止渗透,地下水
兰州城市轨道交通1号线一期工程土建Ⅱ标段冻结工程,满足要求,地层稳定性
程儿山隧道出口F2断层破碎带处理工程,净宽,5.55米
程儿山隧道出口F2断层破碎带处理工程,净高,8.235米
广州盾构换刀冻结技术研究模拟实验工程,建设单位,广东华隧建设公司
广州盾构换刀冻结技术研究模拟实验工程,设计单位,兖矿新陆公司
广州盾构换刀冻结技术研究模拟实验工程,施工单位,兖矿新陆公司
广州盾构换刀冻结技术研究模拟实验工程,其他单位,广州华隧建设公司
甘肃省引洮供水一期工程总干渠7号隧洞,施工时间,2013年3月-2014年11月
甘肃省引洮供水一期工程总干渠7号隧洞,项目类型,输水隧道
甘肃省引洮供水一期工程总干渠7号隧洞,隧道净径,4.96m
甘肃省引洮供水一期工程总干渠7号隧洞,开挖宽度,5.95m
甘肃省引洮供水一期工程总干渠7号隧洞,开挖高度,5.88m
甘肃省引洮供水一期工程总干渠7号隧洞,埋深,234m-245m
甘肃省引洮供水一期工程总干渠7号隧洞,施工方法,冻结法
上海轨道交通14号线桂桥路站管幕冻结暗挖工程,起止时间,2019年10月-2019年12月
上海轨道交通18号线民生路站~昌邑路站清障暗挖冻结加固工程,施工起止,2019年6月-2019年11月
广东深圳地铁A4标段帷幕冻结工程,施工起止,2002年12月到2003年4月
上海地铁M8线中兴路~曲阜路区间泵站排水管,施工时间,2005年
上海地铁M8线中兴路~曲阜路区间泵站排水管,施工方式,冻结施工
佳木斯江北水源工程松花江穿越工程,冻结起止,2002年5月-2002年11月
厦门本岛至翔安过海通道工程五刘区间左线盾构刀盘修复及换刀地层冻结加固,施工时间,2017年8月-2018年1月
上海轨道交通14号线浦东大道站暗挖段工程,冻结起始,2018年7月
上海轨道交通14号线浦东大道站暗挖段工程,冻结结束,未明确
上海市北横通道新建工程,冻结施工,2016年7月
上海市北横通道新建工程,冻结施工,2016年12月
上海迪士尼抢修动力管线冻结修复,施工起止,2014年10月至2015年1月
广州地铁3号线天河客运站折返线双线隧道冻结工程,施工起止,2005年7月
广州地铁3号线天河客运站折返线双线隧道冻结工程,结束时间,未明确
上海地铁2号线河南路~陆家嘴区间旁通道排水管修复工程,施工时间,2006年
上海地铁2号线河南路~陆家嘴区间旁通道排水管修复工程,冻结施工,2006年
上海地铁明珠线上体场穿越段冻结加固构筑,施工起止,2003年3月-2004年9月
广州地铁2号线中山堂~越秀公园区间隧道水平冻结加固,施工时间,2001年3月至2001年12月
北京地铁复~八线,冻结施工,1998年1月
北京地铁复~八线,冻结施工,1998年4月
北京地铁复~八线,冻结位置,拱顶水平
上海西藏南路越江隧道盾构机出洞地基加固冻结工程,中心标高,-15.0米
上海地铁M7号线12B标长清路站~耀华路站区间上行线,冻结方式,水平液氮冻结
上海地铁M7号线12B标长清路站~耀华路站区间下行线,冻结方式,盐水冻结
上海地铁M10号线8标交通大学~上海图书馆区间东端头井下行线,冻结方式,水平冻结
上海地铁M10号线8标交通大学~上海图书馆区间上行线,冻结方式,可能水平冻结
上海地铁M7号线12B标长清路站~耀华路站区间耀华路站端头井盾构进洞冻结法加固工程,施工时间,2008年
上海地铁12号线9标龙华路站水平端头井加固工程,建设单位,上海地铁公司
上海地铁12号线9标龙华路站水平端头井加固工程,设计单位,天地科技
上海地铁12号线9标龙华路站水平端头井加固工程,施工单位,北京中煤
上海地铁12号线9标龙华路站水平端头井加固工程,施工单位,上海城建市政集团
昆明轨道交通5号线土建8标汇~宝、宝~丰区间洞门加固工程,施工方法,水平冻结法
昆明轨道交通5号线土建8标汇~宝、宝~丰区间洞门加固工程,洞门长度,13米
昆明轨道交通5号线土建8标汇~宝、宝~丰区间洞门加固工程,洞门宽度,2.5米
昆明轨道交通5号线土建8标汇~宝、宝~丰区间洞门加固工程,施工单位,中铁建十一局
昆明轨道交通5号线土建8标汇~宝、宝~丰区间洞门加固工程,技术支持,通用技术设计公司
昆明轨道交通5号线土建8标汇~宝、宝~丰区间洞门加固工程,技术支持,兖矿新陆公司
昆明轨道交通5号线土建8标汇~宝、宝~丰区间洞门加固工程,施工时间,2019年7月
上海轨道交通14号线源深路站西端头井下行线,工程时间,2019年10月到2019年12月
昆明轨道交通2号线二期工程盘龙村站区间洞门加固工程冻结加固工程,长度,13米
昆明轨道交通2号线二期工程盘龙村站区间洞门加固工程冻结加固工程,宽度,2米
上海轨道交通18号线9标北中路站~芳芯路站盾构区间端头井洞门水平冻结施工的冻结加固工程,长度,21米
昆明轨道交通5号线工程土建六标广福路站端头洞门冷冻法工程,冻结长度,13米
孟加拉国卡那普利河底隧道始发端洞门加固工程,隧道直径,12.2米
孟加拉国卡那普利河底隧道始发端洞门加固工程,施工方法,冷冻法
孟加拉国卡那普利河底隧道始发端洞门加固工程,冻结长度,3.5米
孟加拉国卡那普利河底隧道始发端洞门加固工程,建设单位,中交二航局
上海轨道交通15号7标罗秀路端头井加固工程,冻结长度,3米
佛山轨道交通2号线TJ1标季华西路垂直冻结工程,长度,5米
广州轨道交通21号线10标递岗站~水西站区间盾构机刀盘换刀液氮抢险工程的冻结加固工程,长度,2.5米
南昌轨道交通2号线南昌火车站盾构出洞冻结加固工程,板块尺寸,21mx12.7mx5m
郑州地铁5号线6标郑州东站盾构进出洞加固工程,冻结长度,5.5米
上海轨道交通10号线8标上海图书馆站西端头井盾构出洞冻结加固工程,长度,2.4米
上海上中路中环线越江隧道浦东盾构出洞强制解冻融沉注浆工程,施工时间,2005年12月-2006年2月
上海上中路中环线越江隧道浦东盾构出洞强制解冻融沉注浆工程,建设单位,上海隧道公司
上海上中路中环线越江隧道浦东盾构出洞强制解冻融沉注浆工程,技术支持,中国矿业大学
上海上中路中环线越江隧道浦东盾构出洞强制解冻融沉注浆工程,技术支持,兖矿新陆公司
上海上中路中环线越江隧道浦东盾构出洞强制解冻融沉注浆工程,施工规模,15mx20mx22m
南京轨道交通1号线TA7标张府园北端头盾构出洞液氮速冻结工程,长度,2.5米
南京轨道交通1号线TA7标张府园北端头盾构出洞液氮速冻结工程,来源,项目表格记录
天津地铁4号线六纬路站盾构到达冻结工程,参与单位,天津城轨集团
天津地铁4号线六纬路站盾构到达冻结工程,参与单位,通用技术设计公司
天津地铁4号线六纬路站盾构到达冻结工程,参与单位,中煤隧道公司
天津地铁4号线六纬路站盾构到达冻结工程,参与单位,中铁四局
杭州地铁6号线江南风井西端头垂直加固工程,工程长度,27.414米
杭州地铁6号线江南风井西端头垂直加固工程,建设单位,杭州地铁集团
杭州地铁6号线江南风井西端头垂直加固工程,设计单位,天地科技
杭州地铁6号线江南风井西端头垂直加固工程,施工单位,中煤隧道公司
杭州地铁6号线江南风井西端头垂直加固工程,参与作业,上海隧道股份
杭州地铁6号线江南风井西端头垂直加固工程,施工时间,2019年10月至2019年12月
上海轨道交通18号线抚顺路站南端头下行线洞门工程,施工时间,2019年10月-2019年12月
上海轨道交通18号线北中路站始发洞门冻结加固工程,工程量上行,16.639
上海轨道交通18号线北中路站始发洞门冻结加固工程,工程量下行,17.000
上海轨道交通18号线北中路站始发洞门冻结加固工程,工程量相同,否
上海轨道交通15号线天山路站南端头井上行线接收冻结加固,实施时间,2019年9月-2019年10月
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,工程量,25.687
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,建设单位,上海申通地铁集团
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,设计单位,约翰芬雷华能设计公司
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,施工单位,中煤隧道公司
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,实施单位,上海基础公司
上海轨道交通14号线昌邑路站西端头井上行线盾构接收冻结加固工程,施工时间,2019年10月-2019年11月
上海轨道交通15号线姚虹路站~古北路站西端头井上线盾构接收冻结加固工程,实施时间,2019年9月-2019年10月
上海轨道交通18号线龙阳路站南端头下行线洞门加固工程,工程量,24.219
济南轨道交通R2线历山北路站右线接收洞门垂直加固项目,参与单位,济南城轨集团
济南轨道交通R2线历山北路站右线接收洞门垂直加固项目,参与单位,通用技术设计公司
济南轨道交通R2线历山北路站右线接收洞门垂直加固项目,参与单位,中煤隧道公司
济南轨道交通R2线历山北路站右线接收洞门垂直加固项目,参与单位,中铁十二局
上海轨道交通14号线静安寺站北端头上行线洞门加固工程,工程量,22.71
上海轨道交通18号线龙阳路站南端头上行线洞门加固工程,实施时间,2019年8月-2019年9月
上海轨道交通15号线姚虹路站~古北路站西端头井下行线盾构接收冻结加固工程,工程量,16.452
南京地铁7号线东青石站洞门加固项目,建设单位,中煤隧道公司
南京地铁7号线东青石站洞门加固项目,施工单位,中铁三局
南京地铁7号线东青石站洞门加固项目,业主单位,南京地铁集团
南京地铁7号线东青石站洞门加固项目,实施时间,2019年8月至2019年12月
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,工程类型,冻结加固工程
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,建设单位,上海申通地铁集团
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,设计单位,约翰芬雷华能设计公司
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,施工单位,中煤隧道公司
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,施工单位,上海基础公司
上海轨道交通14号线浦东大道站西端头井始发冻结加固工程,施工时间,2019年6月至2019年10月
上海轨道交通18号线江浦公园站上行线冻结加固工程,实施时间,2019年5月-2019年7月
上海轨道交通15号线桂林路站北端头井上行线盾构始发,工程量,25.065
上海轨道交通15号线桂林路站北端头井上行线盾构始发,建设单位,上海申通地铁集团
上海轨道交通15号线桂林路站北端头井上行线盾构始发,设计单位,南京设计院
上海轨道交通15号线桂林路站北端头井上行线盾构始发,施工单位,中煤隧道公司
上海轨道交通15号线桂林路站北端头井上行线盾构始发,施工单位,上海机施公司
上海轨道交通15号线桂林路站北端头井上行线盾构始发,施工时间,2019年5月至2019年8月
上海轨道交通18号线莲溪路站接收洞门加固工程上行线,参与单位,上海申通地铁集团
上海轨道交通18号线莲溪路站接收洞门加固工程上行线,参与单位,南京设计院
上海轨道交通18号线莲溪路站接收洞门加固工程上行线,参与单位,中煤隧道公司
上海轨道交通18号线莲溪路站接收洞门加固工程上行线,参与单位,中铁四局
上海轨道交通14号线武定路站南端头井洞门加固,项目编号,94
上海轨道交通14号线武定路站南端头井洞门加固,建设单位,上海申通地铁集团
上海轨道交通14号线武定路站南端头井洞门加固,设计单位,天地科技
上海轨道交通14号线武定路站南端头井洞门加固,施工单位,中煤隧道公司
上海轨道交通14号线武定路站南端头井洞门加固,施工单位,上海隧道公司
上海轨道交通14号线武定路站南端头井洞门加固,长度,15.783
上海轨道交通14号线武定路站南端头井洞门加固,施工时间,2019年3月至2019年6月
上海轨道交通15号线古北路站北端头下行线冻结加固工程,实施时间,2019年3月-2019年5月
上海轨道交通18号线平凉路站上行线冻结加固工程,建设单位,中煤隧道公司
上海轨道交通18号线平凉路站上行线冻结加固工程,设计单位,天地科技
上海轨道交通18号线平凉路站上行线冻结加固工程,业主单位,上海申通地铁集团
上海轨道交通18号线平凉路站上行线冻结加固工程,参与单位,上海基础公司
上海轨道交通14号线源深路站东端头下行线冻结加固工程,实施时间,2019年3月至2019年6月
上海轨道交通15号线吴中路站南端头井盾构始发冻结加固工程,工程量,18.93
上海轨道交通14号线浦东大道站西端头井接收冻结加固工程,实施时间,2019年2月至2019年5月
上海龙耀路隧道南端头井洞门冻结加固工程,参与单位,上海黄浦江越江投资公司
上海龙耀路隧道南端头井洞门冻结加固工程,参与单位,南京设计院
上海龙耀路隧道南端头井洞门冻结加固工程,参与单位,中煤隧道公司
上海龙耀路隧道南端头井洞门冻结加固工程,参与单位,上海基础公司
上海轨道交通18号线莲溪路站接收洞门加固工程下行线,实施时间,2019年1月到2019年4月
上海轨道交通15号线罗秀路站北端头井盾构始发洞门冻结加固工程下行线,工程量,16.793
上海轨道交通15号线罗秀路站北端头井盾构始发洞门冻结加固工程下行线,设计单位,南京设计院
上海轨道交通15号线罗秀路站北端头井盾构始发洞门冻结加固工程下行线,施工单位,中煤隧道公司
上海轨道交通15号线罗秀路站北端头井盾构始发洞门冻结加固工程下行线,参与单位,上海隧道公司
上海轨道交通15号线罗秀路站北端头井盾构始发洞门冻结加固工程下行线,施工时间,2019年1月—2019年3月
上海轨道交通15号线长风公园站南端头上行线冻结加固工程,实施时间,2018年12月—2019年1月
上海轨道交通18号线平凉路站下行线冻结加固工程,参与单位,上海申通地铁集团
上海轨道交通18号线平凉路站下行线冻结加固工程,参与单位,天地科技
上海轨道交通18号线平凉路站下行线冻结加固工程,参与单位,中煤隧道公司
上海轨道交通18号线平凉路站下行线冻结加固工程,参与单位,上海基础公司
杭州地铁5号线平海路站南端头盾构接收冻结加固工程,实施时间,2018年11月至2019年5月
上海轨道交通18号线龙阳路站北端头井上行线冻结加固工程,工程量,24.219
上海轨道交通15号线上海南站站南端下行线盾构始发洞门冻结加固工程,实施时间,2018年11月至2019年3月
南京地铁7号线螺塘街站洞门加固工程,业主单位,南京地铁集团
南京地铁7号线螺塘街站洞门加固工程,设计单位,济南设计公司
南京地铁7号线螺塘街站洞门加固工程,施工单位,中煤隧道公司
南京地铁7号线螺塘街站洞门加固工程,参与单位,中铁一局
郑州地铁4号线龙湖岛站北端头右线洞门加固工程,实施时间,2018年10月—2018年12月
上海轨道交通15号线上海南站站北端上行线盾构始发洞门冻结加固工程,工程量,25.199
上海轨道交通15号线上海南站站北端上行线盾构始发洞门冻结加固工程,建设单位,上海申通地铁集团
上海轨道交通15号线上海南站站北端上行线盾构始发洞门冻结加固工程,设计单位,南京设计院
上海轨道交通15号线上海南站站北端上行线盾构始发洞门冻结加固工程,施工单位,中煤隧道公司
上海轨道交通15号线上海南站站北端上行线盾构始发洞门冻结加固工程,施工单位,上海隧道公司
上海轨道交通15号线上海南站站北端上行线盾构始发洞门冻结加固工程,施工时间,2018年10月至2019年1月
郑州地铁4号线会展中心站北端头洞门加固工程右线,施工单位,中煤隧道公司
郑州地铁4号线会展中心站北端头洞门加固工程右线,施工单位,中铁隧道二处
上海轨道交通15号线上海南站站北端下行线盾构始发洞门冻结加固工程,工程量,25
苏州地铁3号线东方之门站北端头井左线洞门加固,施工时间,2018年5月—2018年8月
郑州地铁4号线龙湖岛站北端头左线洞门,建设单位,郑州城公司
郑州地铁4号线龙湖岛站北端头左线洞门,设计单位,济南设计公司
郑州地铁4号线龙湖岛站北端头左线洞门,施工单位,中煤隧道公司
郑州地铁4号线龙湖岛站北端头左线洞门,施工单位,上海隧道股份
郑州地铁4号线龙湖岛站北端头左线洞门,工程周期,2018年9月至2018年11月
上海轨道交通18号线江浦公园站下行线进、出洞冻结加固工程,工程量,17.795
上海轨道交通18号线江浦公园站下行线进、出洞冻结加固工程,建设单位,上海申通地铁集团
上海轨道交通18号线江浦公园站下行线进、出洞冻结加固工程,设计单位,天地科技
上海轨道交通18号线江浦公园站下行线进、出洞冻结加固工程,施工单位,上海基础公司
上海轨道交通18号线江浦公园站下行线进、出洞冻结加固工程,施工时间,2018年9月至2018年11月
上海轨道交通15号线铜川路站北端头井上行线盾构接收工程,施工单位,中煤隧道公司
上海轨道交通15号线铜川路站北端头井上行线盾构接收工程,施工单位,上海基础公司
郑州地铁4号线龙湖岛站南端头左线洞门,施工时间,2018年7月—2018年9月
常州轨道交通2号线三角场站—紫云站区间左线始发洞门液氮冻结,工程量,16
常州轨道交通2号线三角场站—紫云站区间左线始发洞门液氮冻结,建设单位,常州地铁集团
常州轨道交通2号线三角场站—紫云站区间左线始发洞门液氮冻结,设计单位,济南设计公司
常州轨道交通2号线三角场站—紫云站区间左线始发洞门液氮冻结,施工单位,中煤隧道公司
常州轨道交通2号线三角场站—紫云站区间左线始发洞门液氮冻结,施工单位,中铁隧道公司
常州轨道交通2号线三角场站—紫云站区间左线始发洞门液氮冻结,施工时间,2018年7月至2018年8月
常州轨道交通2号线三角场站—紫云站区间左线始发洞门液氮冻结,工艺,液氮冻结
南昌地铁2号线一期工程6标丁公路南站洞门加固,工程量,17.393
上海轨道交通18号线9标御桥站北端头井洞门冻结加固工程上行线,设计单位,天地科技
杭州地铁5号线三坝村站右线接收洞门加固(东端头),施工时间,2018年6月—2018年9月
上海轨道交通18号线杨高中路站进出洞冻结加固工程上行线,工程量,24.83
上海轨道交通18号线杨高中路站进出洞冻结加固工程上行线,建设单位,上海申通地铁集团
上海轨道交通18号线杨高中路站进出洞冻结加固工程上行线,设计单位,南京设计院
上海轨道交通18号线杨高中路站进出洞冻结加固工程上行线,施工单位,中煤隧道公司
上海轨道交通18号线杨高中路站进出洞冻结加固工程上行线,作业单位,上海基础公司
上海轨道交通18号线杨高中路站进出洞冻结加固工程上行线,施工时间,2018年5月至2018年6月
无锡地铁3号线火车站端头洞门加固工程左线,施工单位,中煤隧道公司
无锡地铁3号线火车站端头洞门加固工程左线,施工单位,中铁隧道三处
郑州地铁4号线副CBD内环路站北端头洞门加固工程右线,施工时间,2018年4月—2018年6月
苏州地铁3号线东方之门站北端头井洞门加固右线,工程量,23.1
苏州地铁3号线东方之门站北端头井洞门加固右线,建设单位,苏州城轨集团
